Nº Contrato|Contratado|Objeto do Contrato|Contratante|Valor do Contrato|
00000203|ACQUA RIOS INDUSTRIA E COMERCIO DE AGUA LTDA ME|AQUISIÇÃO DE ÁGUA MINERAL SEM GÁS, REFERENTE AO PE 272/2016. PARA MANUTENÇÃO DO HOSPITAL DISTRITAL MARIA JOSÉ BARROSO DE OLIVEIRA.|HOSPITAL DISTRITAL  MARIA JOSE BARROSO DE OLIVEIRA|43.272,00|
00000300|ACQUA RIOS INDUSTRIA E COMERCIO DE AGUA LTDA ME|AQUISIÇÃO DE ÁGUA  MINERAL SEM GÁS ACONDICIONADA EM GARRAFÕES PLÁSTICOS DE 20 (VINTE ) LITROS, PARA ATENDER AS NECESSIDADES DOS ÓRGÃOS E ENTIDADES DO MUNICÍPIO DE FORTALEZA|AUTARQUIA DE REGULACAO, FISCALIZACAO E CONTROLE DOS SERVICOS PUBLICOS DE SANEAMENTO AMBIENTAL|3.606,00|
00000182|ACQUA RIOS INDUSTRIA E COMERCIO DE AGUA LTDA ME|AQUISIÇÃO DE ÁGUA MINERAL SEM GÁS, DE ACORDO COM AS ESPECIFICAÇÕES DO ITEM 3.2 DESTE INSTRUMENTO , PARA ATENDER AS NECESSIDADES DA SECRETARIA.|SECRETARIA MUNICIPAL DO DESENVOLVIMENTO ECONOMICO|8.414,00|
00000234|ACQUA RIOS INDUSTRIA E COMERCIO DE AGUA LTDA ME|CONSTITUI OBJETO DESTE CONTRATO A AQUISIÇÃO DE ÁGUA MINERAL SEM GÁS, ACONDICIONADA EM GARRAFÕES PLÁSTICOS DE 20 (VINTE) LITROS, PARA ATENDER AS NECESSIDADES DOS ÓRGÃOS E ENTIDADES DO MUNICÍPIO DE FORTALEZA, DE ACORDO COM AS ESPECIFICAÇÕES E QUANTITATIVOS PREVISTOS NO CONTRATO N° 048/2017 - SMS, PROCESSO N° P561962/2016,  E NA ATA DE REGISTRO DE PREÇOS N° 003/2017, NA PROPOSTA DA CONTRATADA E CONFORME ANEXO ÚNICO AO PRESENTE CONTRATO QUE TEM COMO FUNDAMENTO O EDITAL DO PREGÃO ELETRÔNICO N° 272/2016 E SEUS ANEXOS.|HOSPITAL LUCIA DE FATIMA/CROA|12.981,60|
00000225|ACQUA RIOS INDUSTRIA E COMERCIO DE AGUA LTDA ME|CONSTITUI OBJETO DESTE CONTRATO A AQUISIÇÃO DE ÁGUA MINERAL SEM GÁS, ACONDICIONADA EM GARRAFÕES PLÁSTICOS DE 20 (VINTE) LITROS, PARA ATENDER AS NECESSIDADES DOS ÓRGÃOS E ENTIDADES DO MUNICÍPIO DE FORTALEZA, DE ACORDO COM AS ESPECIFICAÇÕES E QUANTITATIVOS PREVISTOS NO ANEXO A – TERMO DE REFERÊNCIA DO EDITAL, PREGÃO ELETRÔNICO N. 272/2016.|GABINETE DO PREFEITO|34.617,60|
00000196|ACQUA RIOS INDUSTRIA E COMERCIO DE AGUA LTDA ME|AQUISIÇÃO DE ÁGUA MINERAL SEM GÁS, ACONDICIONADA EM GARRAFÕES PLÁSTICOS DE 20 (VINTE) LITROS, CONFORME PREGÃO ELETRÔNICO N° 272/2016 - CONTRATO Nº 048/2017|HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO|20.193,60|
00000241|ACQUA RIOS INDUSTRIA E COMERCIO DE AGUA LTDA ME|AQUISIÇÃO DE ÁGUA MINERAL SEM GÁS, ACONDICIONADA EM GARRAFÕES PLÁSTICOS DE 20 (VINTE) LITROS, PARA ATENDER AS NECESSIDADES DOS ÓRGÃOS E ENTIDADES DO MUNICÍPIO DE FORTALEZA, DE ACORDO COM AS ESPECIFICAÇÕES E QUANTITATIVOS PREVISTOS NO ANEXO A - TERMO DE REFERÊNCIA DO EDITAL, PREGÃO ELETRÔNICO Nº 272/2016 - SEPOG, PROCESSO Nº 171697/2016.|CENTRAL DE LICITACOES DA PREFEITURA DE FORTALEZA|4.507,50|
00000168|ACQUA RIOS INDUSTRIA E COMERCIO DE AGUA LTDA ME|CONSTITUI OBJETO DESTE CONTRATO A AQUISIÇÃO DE ÁGUA MINERAL SEM GÁS, ACONDICIONADA EM GARRAFÕES PLÁSTICOS DE 20 (VINTE), LITROS, PARA ATENDER AS NECESSIDADES DOS ÓRGÃOS E ENTIDADES DO MUNICÍPIO DE FORTALEZA.|INSTITUTO DE PESOS E MEDIDAS|9.616,00|
00002881|ACQUA RIOS INDUSTRIA E COMERCIO DE AGUA LTDA ME|AQUISIÇÃO DE ÁGUA MINERAL SEM GÁS, ACONDICIONADA EM GARRAFÕES PLÁSTICOS DE 20 LITROS, TRANSPARENTES, DE ACORDO COM AS ESPECIFICAÇÕES E QUANTITATIVOS PREVISTOS NO ANEXO A - TERMO DE REFERÊNCIA DO EDITAL.|SECRETARIA MUNICIPAL DO URBANISMO E MEIO AMBIENTE|14.000,00|
00003771|ACQUA RIOS INDUSTRIA E COMERCIO DE AGUA LTDA ME|AQUISIÇÃO DE GARRAFÕES DE ÁGUA MINERAL|AGENCIA DE FISCALIZACAO DE FORTALEZA|2.016,00|
00003717|ACQUA RIOS INDUSTRIA E COMERCIO DE AGUA LTDA ME|AQUISIÇÃO DE ÁGUA MINERAL SEM GÁS, ACODICIONADA EM GARRAFÕES PLÁSTICOS DE 20 (VINTE) LITROS, TRANSPARENTES, HIGIENIZADOS NA PARTE INTERNA E EXTERNA DOS GARRAFÕES, COM PROTETOR NA PARTE SUPERIOR E LACRE DE SEGURANÇA, FORNECIDO MEDIANTE A TROCA DE VASILHAMES (REPOSIÇÃO), DISPONIBILIZADOS PELA EMPRESA CONTRATADA.|SECRETARIA REGIONAL VI|10.080,00|
00002103|ACQUA RIOS INDUSTRIA E COMERCIO DE AGUA LTDA ME|CONSTITUI OBJETO DO PRESENTE CONTRATO A AQUISIÇÃO DE ÁGUA MINERAL SEM GÁS, ACONDICIONADA EM GARRAFÕES PLÁSTICOS DE 20 (VINTE) LITROS, FORNECIDO MEDIANTE A TROCA DOS VASILHAMES (REPOSIÇÃO), DISPONIBILIZADOS PELA EMPRESA CONTRATA, QUE ATENDAM AS NORMAS DA ABNT E DEVIDAMENTE APROVADOS PELO ÓRGÃO DE FISCALIZAÇÃO E CONTROLE, DE ACORDO COM AS ESPECIFICAÇÕES E QUANTITATIVOS PREVISTOS NO ANEXO A - TERMO DE REFERÊNCIA DO EDITAL DO PREGÃO ELETRÔNICO Nº 189/2015, NA PROPOSTA DA CONTRATA.|GABINETE DO PREFEITO|26.880,00|
00000142|ACQUA RIOS INDUSTRIA E COMERCIO DE AGUA LTDA ME|CONTRATO PARA A AQUISIÇÃO DE ÁGUA MINERAL PARA SUPRIR AS NECESSIDADES DA SECRETARIA DE CONSERVAÇÃO E SERVIÇOS PÚBLICOS, DE ACORDO COM AS ESPECIFICAÇÕES CONTIDAS NO TERMO DE REFERÊNCIA.|SECRETARIA MUNICIPAL DA CONSERVACAO E SERVICOS PUBLICOS|4.808,00|
00000166|ACQUA RIOS INDUSTRIA E COMERCIO DE AGUA LTDA ME|CONSTITUI OBJETO DESTE CONTRATO A AQUISIÇÃO DE ÁGUA MINERAL SEM GÁS, ACONDICIONADA EM GARRAFÕES PLÁSTICOS DE 20 (VINTE) LITROS, TRANSPARENTES, HIGIENIZADOS NA PARTE INTERNA E EXTERNA DOS GARRAFÕES, COM PROTETOR NA PARTE SUPERIOR E LACRE DE SEGURANÇA, FORNECIMENTO MEDIANTE A TROCA DE VASILHAMES (REPOSIÇÃO), DISPONIBILIZADOS PELA EMPRESA CONTRATADA, QUE  ATENDAM AS NORMAS DA ABNT E DEVIDAMENTE APROVADA PELO ORGÃO DE FISCALIZAÇÃO E CONTROLE, PARA ATENDER AS NECESSIDADES DA CONTRATANTE DE ACORDO COM AS ESPECIFICAÇÕES E QUANTITATIVOS PREVISTO NO ANEXO A - TERMO DE REFERÊNCIA DO EDITAL PREGÃO ELETRÔNICO Nº 272/2016-SEPOG.|SECRETARIA MUNICIPAL DA CULTURA DE FORTALEZA|18.030,00|
00000303|ACQUA RIOS INDUSTRIA E COMERCIO DE AGUA LTDA ME|AQUISIÇÃO DE 3.360 (TRÊS MIL TREZENTOS E SESSENTA) ÁGUA MINERAL SEM GÁS, ACONDICIONADA EM GARRAFÕES PLÁSTICOS DE 20 (VINTE) LITROS, PARA ATENDER AS DEMANDAS DA GUARDA MUNICIPAL DE FORTALEZA.|GUARDA MUNICIPAL DE FORTALEZA|20.193,60|
00000282|ACQUA RIOS INDUSTRIA E COMERCIO DE AGUA LTDA ME|CONSTITUI OBJETO DESTE CONTRATO A AQUISIÇÃO DE ÁGUA MINERAL SEM GÁS, ACONDICIONADA EM GARRAFÕES PLÁSTICOS DE 20(VINTE) LITROS, PARA ATENDER AS NECESSIDADES DA SECRETARIA REGIONAL IV, DE ACORDO COM AS ESPECIFICAÇÕES E QUANTITATIVOS CONTIDOS NO ANEXO A - TERMO DE REFERÊNCIA DO EDITAL, PARA O PERÍODO DE 12(DOZE)MESES A PARTIR DA DATA DE SUA PUBLICAÇÃO NO DOM. PREGÃO ELETRÔNICO Nº.272/2016.|SECRETARIA REGIONAL IV|12.020,00|
00004881|ACUCENA PROJETOS SOCIAIS E CULTURAIS LTDA ME|PARTICIPAÇÃO DO FUNDEMA COM INTERVENIENCIA DA SEUMA NO EVENTO DENOMINADO " A ARTE URBANA COMO EDUCAÇÃO AMBIENTAL" QUE ACONTECERÁ COM INÍCIO AOS DIAS 26 DE DEZEMBRO DE 2016 E TÉRMINO AOS DIAS 13 DE FEVEREIRO DE 2017.|FUNDO DE DEFESA DO MEIO AMBIENTE|100.000,00|
00000517|ADELSON ROSA DE LIMA|CONTRATAÇÃO DE PESSOA FÍSICA PARA LOCAÇÃO DE IMÓVEL NÃO RESIDENCIAL DESTINADO AO FUNCIONAMENTO DA ESCOLA MUNICIPAL NARCISO PESSOA DE ARAÚJO.|FUNDO MUNICIPAL DE EDUCACAO|257.764,56|
00004972|ADRIANA PINHEIRO FERREIRA DE MELO ME|CONTRATAÇÃO DE PESSOA JURÍDICA PARA O FORNECIMENTO DE PROJETORES MULTIMÍDIA PARA ATENDER AS DEMANDAS DAS ESCOLAS DE TEMPO INTEGRAL DA PMF.|FUNDO MUNICIPAL DE EDUCACAO|37.100,00|
00004481|ALBERFLEX IND. DE MOVEIS LTDA.|AQUISIÇÃO DE MOBILIÁRIO DE ACORDO COM ESPECIFICAÇÕES E QUANTITATIVOS PREVISTOS NO ANEXO I DO CONTRATO PARA SUPRIR AS NECESSIDADES DESTA SECRETARIA REGIONAL II.|SECRETARIA REGIONAL II|25.014,02|
00001965|ALESSANDRO BELCHIOR ADM DE IMOVEIS LTDA|CONSTITUI OBJETO DESTE CONTRATO A LOCAÇÃO DO IMÓVEL SITUADO NA AV.  SANTOS DUMONT Nº 5335,SALAS 1003,1017,1018,702 E 703 DO EDIFÍCIO PLANALTO CENTER - PAPICU NESTA CAPITAL, DESTINADO AO  FUNCIONAMENTO DA PROCURADORIA DA DIVIDA ATIVA - PRODAT.|SECRETARIA MUNICIPAL DO PLANEJAMENTO, ORCAMENTO  E GESTAO|48.360,00|
00000384|ALESSANDRO BELCHIOR ADM DE IMOVEIS LTDA|GB PARTICIPACOES E INCORPORACOES LTDA|O IMOVEL NAO RESIDENCIAL SITUADO NESTA CAPITAL NA RUA MAJOR FA-CUNDO N 907 - CENTRO DE PROPRIEDADE DA LOCADORA DESTINADO A SEDIAR A SECRETARIA REGIONAL DO CENTRO.|SECRETARIA REGIONAL DO CENTRO|396.000,00|
00002134|ALESSANDRO BELCHIOR ADM DE IMOVEIS LTDA|SJ ADMINISTRACAO DE IMOVEIS LTDA|CONTRATO DE LOCAÇÃO DO IMÓVEL SITUADO NA RUA DO ROSÁRIO, Nº 77, TERRAÇO E SOBRELOJA, CENTRO, FORTALEZA-CE, DESTINADO AO FUNCIONAMENTO DA CENTRAL DE LICITAÇÕES DA PREFEITURA DE FORTALEZA - CLFOR, VIGENTE POR 12(DOZE) MESES.|SECRETARIA MUNICIPAL DO PLANEJAMENTO, ORCAMENTO  E GESTAO|262.123,44|
00004400|ALINE DOS SANTOS RODRIGUES|CONCESSÃO DE CRÉDITO AOS MUTUÁRIOS NA IMPORTÂNCIA DE R$14.690,67 (QUATORZE MIL, SEISCENTOS E NOVENTA E REAIS  E SESSENTA E SETE CENTAVOS) QUE SERÁ CREDITADA MEDIANTE TRANSFERÊNCIA BANCÁRIA EM CONTA CORRENTE CONJUNTA DE TITULARIDADE DOS MUTUÁRIOS ABERTA JUNTO AO BANCO DO BRASIL S.A, EM 02 (DUAS) PARCELAS CONFORME ESTABELECIDO NA CLAUSULA QUARTA DO CONTRATO.|FUNDO MUNICIPAL DO JOVEM EMPREENDEDOR|14.690,67|
00004438|AM SERVIÇOS E LOCAÇÃO DE EQUIP. DE INFORM.|A PRESENTE LICITAÇÃO TEM POR OBJETO A CONTRATAÇÃO DO SERVIÇO DE LOCAÇÃO DE MÁQUINAS COPIADORAS/IMPRESSORAS, DEVIDAMENTE INSTALADAS, COM FORNECIMENTO DE TODAS AS PEÇAS, PARTES, COMPONENTES CORRETIVOS E INSUMOS/MATERIAIS DE CONSUMO, EXCETO PAPEL, A EXEMPLO DE CILINDRO, TONNER, REVELADOR, GRAMPOS, SERVIÇO DE MANUTENÇÃO PREVENTIVA E CORRETIVA, ENFIM TODA A ASSISTÊNCIA TÉCNICA NECESSÁRIA AO PERFEITO CUMPRIMENTO DESTE OBJETO, INCLUINDO-SE SOFTWARE DE GERENCIAMENTO, PARA ATENDER AS NECESSIDADES DO INSTITUTO DE PLANEJAMENTO DE FORTALEZA - IPLANFOR.|INSTITUTO DE PLANEJAMENTO DE FORTALEZA|17.640,00|
00003176|AMP ENGENHARIA EIRELI|SERVIÇOS DE MANUTENÇÃO PREVENTIVA E CORRETIVA E REFORMA DE PRAÇAS E PARQUES PÚBLICOS, COM FORNECIMENTO DE MATERIAIS E PEÇAS DE REPOSIÇÃO, QUANDO NECESSÁRIAS, ATRAVÉS DO PERCENTUAL DE DESCONTO SOBRE A TABELA DE CUSTOS DE SERVIÇOS DA SEINFRA/CE.|SECRETARIA REGIONAL V|1.640.191,01|
00002496|AMP ENGENHARIA EIRELI|PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREVENTIVA E CORRETIVA E REFORMA DAS PRAÇAS E PARQUES PÚBLICOS, COM FORNECIMENTO DE MATERIAIS E PEÇAS DE REPOSIÇÃO, QUANDO NECESSÁRIAS, ATRAVÉS DO PERCENTUAL DE DESCONTO SOBRE A TABELA DE CUSTOS DE SERVIÇOS DA SEINFRA/CE.|SECRETARIA REGIONAL V|1.959.112,87|
00002529|AMP ENGENHARIA EIRELI|PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREVENTIVA E CORRETIVA E REFORMA DE PRAÇAS E PARQUES PÚBLICOS, COM O FORNECIMENTO DE MATERIAIS E PEÇAS DE REPOSIÇÃO, QUANDO NECESSÁRIAS, ATRAVÉS DO PERCENTUAL DE DESCONTO SOBRA A TABELA DE CUSTOS DE SERVIÇOS DA SEINFRA/CE.|SECRETARIA MUNICIPAL DA INFRAESTRUTURA|3.600.000,00|
00000498|AMP ENGENHARIA EIRELI|CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM OBRAS, COM FINS À AMPLIAÇÃO E REFORMA DE 06 ESCOLAS DE TEMPO INTEGRAL E 01 UMA ACADEMIA DO PROFESSOR EM UNIDADES EDUCACIONAIS DO MUNICÍPIO DE FORTALEZA - CE, LOCALIZADAS NAS SERS I A VI.|FUNDO MUNICIPAL DE EDUCACAO|2.110.277,47|
00000560|AMP ENGENHARIA EIRELI|CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM OBRAS, COM FINS A AMPLIAÇÃO E REFORMA DE 06 ESCOLAS DE TEMPO INTEGRAL E 01 ACADEMIA DO PROFESSOR NAS UNIDADES EDUCACIONAIS DO MUNICÍPIO DE FORTALEZA/SME - CONTRATO N. 20/2015 - ETI JOSÉ CARVALHO - SER VI - LOTE 06|FUNDO MUNICIPAL DE EDUCACAO|1.563.020,57|
00000021|ANA CLAUDIA HONORATO DE ANDRADE- ME|AQUISIÇÃO DE SUPRIMENTO DE INFORMÁTICA E MATERIAIS DIVERSOS PARA ATENDER AS NECESSIDADES DA SECRETARIA MUNICIPAL DE INFRAESTRUTURA - SEINF, LOTES 01 E 02.|SECRETARIA MUNICIPAL DA INFRAESTRUTURA|7.043,20|
00004773|ANA CLAUDIA HONORATO DE ANDRADE- ME|AQUISIÇÃO DE EQUIPAMENTOS DE INFORMATICA PARA FUNDACAO CITINOVA|FUNDACAO DE CIENCIA, TECNOLOGIA E INOVACAO DE FORTALEZA|17.353,00|
00004290|ANA PAULA QUEIROS FERREIRA ME|FORNECIMENTO DE LEITE DE VACA PASTEURIZADO, TIPO "C", COM 3% A 3,5% DE GORDURA, EMBALAGEM EM SACO PLÁSTICO LEITOSO COM CAPACIDADE DE 01 (UM) LITRO, CONTENDO DADOS DE IDENTIFICAÇÃO DO PRODUTO, MARCA DO FABRICANTE, PRAZO DE VALIDADE DE NO MÍNIMO 03(TRÊS) DIAS, DESTINADO AO CONSUMO DOS SERVIDORES LOTADOS NA CÉLULA DE GESTÃO DA MALHA VIÁRIA DA SECRETARIA MUNICIPAL DE INFRAESTRUTURA - SEINF.|SECRETARIA MUNICIPAL DA INFRAESTRUTURA|25.425,00|
00001377|ANGELUCIA  MESQUITA CHAVES|O PRESENTE CONTRATO TEM POR OBJETO A CONCESSÃO DE CRÉDITO AS MUTUÁRIAS NA IMPORTÂNCIA DE R$ 13.676,80 (TREZE MIL, SEISCENTOS E SETENTA E SEIS REAIS E OITENTA CENTAVOS) QUE SERÁ CREDITADA MEDIANTE TRANSFERÊNCIA BANCÁRIA EM CONTA CORRENTE CONJUNTA DE TITULARIDADE DAS MUTUÁRIAS, ABERTA JUNTO AO BANCO DO BRASIL S/A, EM 02 (DUAS) PARCELAS, CONFORME ESTABELECIDO NA CLÁUSULA QUARTA DO PRESENTE INSTRUMENTO.|FUNDO MUNICIPAL DO JOVEM EMPREENDEDOR|13.676,80|
00004516|ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S.A|FORNECIMENTO DE 12 (DOZE) SENHAS DE ACESSO AO CURSO ON-LINE “O NOVO CPC”, MINISTRADO PELO PROFESSOR FREDIE DIDIER JUNIOR, A SEREM UTILIZADAS PELA PROCURADORIA GERAL DO MUNICÍPIO DE FORTALEZA|FUNDO DE APERFEICOAMENTO DA PROCURADORIA GERAL DO MUNICIPIO|7.904,16|
00003361|ANTONIO FEITOSA DE SOUSA JÚNIOR|O PRESENTE CONTRATO TEM POR OBJETO A CONCESSÃO DE CRÉDITO AOS MUTUÁRIOS NA IMPORTÂNCIA DE R$ 13.507,00(TREZE MIL, QUINHENTOS E SETE REAIS) QUE SERÁ CREDITADA MEDIANTE TRANSFERÊNCIA BANCÁRIA EM CONTA CORRENTE CONJUNTA DE TITULARIDADE DOS MUTUÁRIOS, ABERTA JUNTO AO BANCO DO BRASIL S/A, EM 02 (DUAS) PARCELAS, CONFORME ESTABELECIDO NA CLÁUSULA QUARTA DO PRESENTE INSTRUMENTO.|FUNDO MUNICIPAL DO JOVEM EMPREENDEDOR|13.507,00|
00004812|AQUI COMERCIO DE GAS LTDA - EPP|CONTRATO DE AQUISIÇÃO RECARGA DE GÁS LIQUEFEITO DE PETRÓLEO - GLP P13KG E P45KG, PARA ATENDER AS UNIDADES ESCOLARES DO MUNICÍPIO DE FORTALEZA E OS PRÉDIOS ADMINISTRATIVOS DA SECRETARIA MUNICIPAL DE EDUCAÇÃO - SME.|FUNDO MUNICIPAL DE EDUCACAO|703.645,80|
00000037|ARCADIS LOGOS SA|GCA CONSULTORES ASSOCIADOS S/S LTDA|CONTRATACAO DE EMPRESA PARA EXECUCAO DAS SERVICOS TECNICOS ESPECIALIZADOS DE GERENCIAMENTO E SUPERVISAO DE PROJETOS E OBRAS GERENCIADAS SUPERVISIONADAS E/OU FISCALIZADAS PELA SEINF.|SECRETARIA MUNICIPAL DE DESENVOLVIMENTO URBANO E INFRAESTRUTURA|5.558.057,14|
00002086|ARCHITECTUS S/S LTDA|CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA ÁREA DE ARQUITETURA, URBANISMO E ENGENHARIA PARA PRESTAÇÃO DE SERVIÇOS TÉCNICOS DE ELABORAÇÃO DE PROJETOS E SEUS SERVIÇOS ASSOCIADOS NO ÂMBITO DA ADMINISTRAÇÃO MUNICIPAL, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES DO ANEXO A - TERMO DE REFERÊNCIA DO EDITAL E NA PROPOSTA DA CONTRATADA.|SECRETARIA MUNICIPAL DE INFRAESTRUTURA|8.000.000,00|
00000849|ARQUITETA PROMOÇÕES E EVENTOS EIRELI - EPP|CONTRATAÇÃO DE PESSOA JURÍDICA PARA COMPOSIÇÃO DE EQUIPE MULTIDISCIPLINAR RESPONSÁVEL PELO ACOMPANHAMENTO DOS PROJETOS MULHERES PAZ E PROTEJO, BEM COMO, PARA CAPACITAÇÃO DE 50 MULHERES E 75 JOVENS INTEGRANTES DOS PROJETOS MULHERES DA PAZ E PROTEJO, DE ACORDO COM AS ESPECIFICAÇÕES E QUANTITATIVOS PREVISTOS NO ANEXO I – TERMO DE REFERÊNCIA DO EDITAL DO PREGÃO ELETRÔNICO Nº 24/2015 E NA PROPOSTA DA CONTRATADA.|SECRETARIA MUNICIPAL DA SEGURANCA CIDADA|443.951,35|
